location,date,New_Cases,New_Deaths,Reproduction_Rate,ICU_Patients,Hosp_Patients,Positive_Rate,People_Vaccinated,People_Fully_Vaccinated,Total_Boosters,Population,Population_Density,Extreme_Poverty
Germany,2022,14555963.0,18140.0,103.99,231678.0,0.0,5.344,5874736152.0,5762833592.0,4154348032.0,7802743803.0,22042.487999999998,0.0
Greece,2020,138850.0,4838.0,314.57,0.0,0.0,9.1784,5585.0,0.0,0.0,3246043811.0,26128.927,469.5
Greece,2021,1072003.0,15952.0,389.78000000000003,0.0,0.0,10.958,1453899780.0,1252378600.0,108204840.0,3785322655.0,30469.835,547.5
Greece,2022,1866858.0,6894.0,93.1,0.0,0.0,6.1599,723327883.0,689367222.0,463586877.0,964479471.0,7763.547,139.5
Guam,2020,0.0,0.0,0.0,0.0,0.0,24.121,0.0,0.0,0.0,50204280.0,89717.76,0.0
Guam,2021,0.0,0.0,0.0,0.0,0.0,36.495,0.0,0.0,0.0,62117160.0,111006.72,0.0
Guam,2022,0.0,0.0,0.0,0.0,0.0,23.173000000000002,0.0,0.0,0.0,15316560.0,27371.52,0.0
Hong Kong,2020,8846.0,148.0,0.0,0.0,0.0,0.0408,0.0,0.0,0.0,2598163200.0,2421661.616,0.0
Hong Kong,2021,3827.0,65.0,0.0,0.0,0.0,0.0023,876947615.0,744653828.0,10526681.0,2756772000.0,2569495.61,0.0
Hong Kong,2022,1158773.0,7959.0,0.0,0.0,0.0,0.2791,537252792.0,474819965.0,138072506.0,702410400.0,654693.402,0.0
Hungary,2020,322514.0,9537.0,327.0,0.0,550368.0,21.7955,0.0,0.0,0.0,2928785248.0,32845.072,152.0
Hungary,2021,933901.0,29649.0,393.44,0.0,1318147.0,37.1308,1096401707.0,903818896.0,131251606.0,3516469130.0,39435.695,182.5
Hungary,2022,597783.0,6324.0,93.7,0.0,291729.0,24.1837,394572801.0,379587004.0,231206448.0,895977066.0,10047.999,46.5
India,2020,10286709.0,148995.0,349.0,0.0,0.0,18.1249,0.0,0.0,0.0,469578844121.0,151791.203,7144.4
India,2021,24574870.0,325118.0,363.69,0.0,0.0,15.7091,122780611620.0,51337935159.0,0.0,508594297045.0,164402.935,7738.0
India,2022,8167465.0,39872.0,79.12,0.0,0.0,4.934,86004506586.0,67591419348.0,1240899212.0,129587040069.0,41888.967,1971.6
Indonesia,2020,743198.0,22138.0,335.8,0.0,0.0,0.0,0.0,0.0,0.0,84290345340.0,44446.125,1738.5
Indonesia,2021,3519522.0,121956.0,342.18,0.0,0.0,28.6515,18599367876.0,11295449086.0,0.0,100872052620.0,53189.625,2080.5
Indonesia,2022,1753028.0,11070.0,117.13,0.0,0.0,7.0728,16719836900.0,12280141426.0,553587693.0,25701646284.0,13552.425,530.1
Ireland,2020,91779.0,2253.0,333.11,10888.0,71181.0,11.1549,4171.0,89.0,0.0,1529751528.0,21451.318,61.400000000000006
Ireland,2021,642889.0,2975.0,366.6,27040.0,153971.0,24.3059,790817193.0,658979105.0,56616507.0,1748999304.0,24525.773999999998,70.2
Ireland,2022,473326.0,228.0,61.96,4032.0,47087.0,20.3091,237452371.0,231697630.0,162063615.0,323888760.0,4541.8099999999995,13.0
Italy,2020,2107314.0,74190.0,366.77,408620.0,4128664.0,20.4129,81781.0,0.0,0.0,20283470256.0,69168.624,672.0
Italy,2021,2499247.0,55760.0,249.49,428504.0,3852473.0,10.4475,4976290793.0,3299619032.0,0.0,15393705105.0,52494.045000000006,510.0
Italy,2022,277825.0,560.0,0.0,1926.0,41771.0,0.2983,202919273.0,191335074.0,155743975.0,241469884.0,823.436,8.0
Japan,2020,235747.0,3492.0,356.25,11729.0,156063.0,18.2075,0.0,0.0,0.0,43487524620.0,119983.41,0.0
Japan,2021,1496547.0,14897.0,351.56,58110.0,500430.0,18.8911,10491852475.0,8543778512.0,2260322.0,46008540540.0,126938.97,0.0
Japan,2022,4968341.0,9898.0,130.4,17236.0,245216.0,28.1212,4983531544.0,5404070447.0,1136972445.0,11722724028.0,32343.354000000003,0.0
Kazakhstan,2020,201196.0,2749.0,302.57,0.0,0.0,10.8669,0.0,0.0,0.0,5584517652.0,1964.214,29.400000000000002
Kazakhstan,2021,930697.0,15743.0,361.36,0.0,0.0,6.0284,1414524730.0,1157177352.0,0.0,6933159670.0,2438.565,36.5
Kazakhstan,2022,321386.0,801.0,70.39,0.0,0.0,0.0,714019601.0,692362902.0,42926309.0,1766531094.0,621.333,9.3
Kiribati,2021,2.0,0.0,0.0,0.0,0.0,0.0,333725.0,85970.0,0.0,27676464.0,32763.827999999998,0.0
Kiribati,2022,3069.0,13.0,52.68,0.0,0.0,0.0,367315.0,230397.0,0.0,11289084.0,13364.193,0.0
Kyrgyzstan,2020,81034.0,1798.0,291.91,0.0,0.0,0.0,0.0,0.0,0.0,1915592283.0,9344.237,404.59999999999997
Kyrgyzstan,2021,103655.0,1447.0,362.95,0.0,0.0,0.0,129181554.0,89272104.0,0.0,2419346655.0,11801.545,510.99999999999994
Kyrgyzstan,2022,16279.0,189.0,82.6,0.0,0.0,0.0,120274061.0,69038827.0,0.0,616436271.0,3006.969,130.2
Laos,2020,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2088358314.0,8409.345,6424.099999999999
Laos,2021,111019.0,372.0,285.66,0.0,0.0,22.97,106483315.0,64482741.0,0.0,2693465670.0,10845.975,8285.5
Laos,2022,72500.0,308.0,95.27,0.0,0.0,21.4037,107586656.0,90242443.0,0.0,686280294.0,2763.495,2111.1
Luxembourg,2020,47763.0,497.0,325.91,4448.0,26443.0,9.562,2503.0,0.0,0.0,198061968.0,72211.464,62.400000000000006
Luxembourg,2021,49578.0,286.0,369.76,4551.0,17306.0,11.157,91095079.0,381349.0,6076751.0,214567132.0,78229.086,67.60000000000001
Luxembourg,2022,113213.0,122.0,100.33,863.0,4747.0,28.443,36189913.0,460292.0,25110284.0,59037702.0,21524.571,18.6
Malaysia,2020,113010.0,471.0,344.21,14736.0,270365.0,5.4001,0.0,0.0,0.0,11242234885.0,33015.122,34.300000000000004
Malaysia,2021,1633244.0,16193.0,260.96999999999997,178718.0,1450610.0,14.8233,1029424396.0,573816117.0,0.0,7964615385.0,23389.722,24.3
Malaysia,2022,79049.0,193.0,0.82,1319.0,17113.0,0.0,137581121.0,129055930.0,79107517.0,163880975.0,481.27000000000004,0.5
Maldives,2020,13757.0,48.0,263.61,0.0,0.0,15.5135,0.0,0.0,0.0,162542380.0,434875.467,0.0
Maldives,2021,81943.0,214.0,381.73,0.0,0.0,18.5872,85849183.0,55844705.0,508104.0,198421300.0,530868.045,0.0
Maldives,2022,81300.0,36.0,79.03,0.0,0.0,15.1647,20285579.0,18884215.0,4596982.0,50556660.0,135262.269,0.0
Mexico,2020,1426094.0,123018.0,337.29,0.0,0.0,124.56400000000001,62854.0,0.0,0.0,47675972520.0,24318.504,915.0
Mexico,2021,2553629.0,169349.0,371.63,0.0,0.0,94.773,10511128978.0,7035702985.0,0.0,47545710300.0,24252.06,912.5
Mexico,2022,1686492.0,23795.0,91.02,0.0,0.0,38.215,5975277443.0,5498611865.0,0.0,12114386460.0,6179.292,232.5
Moldova,2020,144818.0,2985.0,314.77,0.0,0.0,21.6026,0.0,0.0,0.0,1203183475.0,36972.845,59.800000000000004
Moldova,2021,231337.0,6705.0,362.85,0.0,0.0,49.1401,35898194.0,82555094.0,0.0,1468769125.0,45134.075,73.0
Moldova,2022,138044.0,1171.0,90.51,0.0,0.0,2.6912,3238691.0,75760046.0,82869.0,374234325.0,11499.915,18.6
Mongolia,2020,1195.0,1.0,140.23,0.0,0.0,0.1513,0.0,0.0,0.0,988796754.0,588.06,148.5
Mongolia,2021,691426.0,2058.0,395.84000000000003,0.0,0.0,76.3483,426279676.0,354579695.0,7969341.0,1215187930.0,722.7,182.5
Mongolia,2022,226246.0,118.0,87.95,0.0,0.0,17.0566,140727337.0,130238155.0,61753161.0,309623226.0,184.14,46.5
Myanmar,2020,124630.0,2682.0,268.85,0.0,0.0,11.7851,0.0,0.0,0.0,15345683920.0,22881.88,1792.0
Myanmar,2021,406204.0,16587.0,363.52,0.0,0.0,29.8161,171723696.0,102174864.0,0.0,20004195110.0,29828.165,2336.0
Myanmar,2022,81041.0,165.0,95.04,0.0,0.0,3.5513,449823536.0,381729688.0,0.0,5096959302.0,7600.053,595.2
Nauru,2021,0.0,0.0,0.0,0.0,0.0,0.0,60859.0,26319.0,0.0,2913964.0,182896.6,0.0
Nauru,2022,0.0,0.0,0.0,0.0,0.0,0.0,16914.0,15038.0,0.0,869840.0,54596.0,0.0
Nepal,2020,260594.0,1856.0,274.36,0.0,0.0,26.776,0.0,0.0,0.0,10148822640.0,69915.06,5130.0
Nepal,2021,567838.0,9738.0,361.63,0.0,0.0,47.853,656180628.0,435479637.0,0.0,10831345800.0,74616.95,5475.0
Nepal,2022,150044.0,357.0,78.42,0.0,0.0,11.451,897994131.0,700509480.0,60238449.0,2759767560.0,19011.99,1395.0
Netherlands,2020,806620.0,11482.0,349.88,109392.0,290190.0,15.524000000000001,0.0,0.0,0.0,5306486046.0,157140.096,0.0
Netherlands,2021,2346892.0,9540.0,371.84,157466.0,402535.0,44.949,415516975.0,319378550.0,7851621.0,6268179310.0,185618.56,0.0
