Region_x,Quarter_x,Country_x,New_Cases,New_Deaths,ICU_Patients,Hosp_Patients,People_Fully_Vaccinated,Extreme_Poverty,BU_ID,Country_y,Region_y,Quarter_y,SKU_NUMBER,SKU_AGE,Category,Revenue,Margin,Revenue_Rng
APJ,FY21Q1,Nepal,59.0,0.0,0.0,0.0,0.0,1470.0,11,United States,AMER,FY22Q3,413-BBBQ,8,NETWORKING CARDS,31.98,18.4,Rev < 1k
APJ,FY21Q1,New Zealand,1486.0,20.0,0.0,0.0,0.0,0.0,11,United States,AMER,FY22Q3,414-BBFJ,2,HD,4615.65,1206.86,Rev > 1m
APJ,FY21Q1,Pakistan,19103.0,440.0,0.0,0.0,0.0,268.0,11,United States,AMER,FY22Q3,414-BBHF,2,HD,7238.13,-356.79,Rev > 1m
APJ,FY21Q1,Papua New Guinea,8.0,0.0,0.0,0.0,0.0,0.0,11,United States,AMER,FY22Q3,429-AANH,9,CD-ROM,1213.63,464.03,Rev > 1m
APJ,FY21Q1,Philippines,8772.0,581.0,0.0,0.0,0.0,0.0,11,United States,AMER,FY22Q3,429-AAUQ,7,HD,1503265.67,574057.551,Rev > 1m
APJ,FY21Q1,Singapore,17101.0,16.0,876.0,17561.0,0.0,0.0,11,United States,AMER,FY22Q3,429-AAYT,6,CD-ROM,13896.08,7355.844,Rev > 1m
APJ,FY21Q1,South Korea,10779.0,250.0,2188.0,0.0,0.0,20.200000000000003,11,United States,AMER,FY22Q3,429-AAYU,6,CD-ROM,79.98,48.78,Rev < 1k
APJ,FY21Q1,Sri Lanka,690.0,7.0,0.0,0.0,0.0,67.19999999999999,11,United States,AMER,FY22Q3,429-AAZP,6,ACCESSORIES,98.88,21.79,Rev < 1k
APJ,FY21Q1,Taiwan,428.0,6.0,0.0,0.0,0.0,0.0,11,United States,AMER,FY22Q3,429-AAZZ,6,CD-ROM,1498.07,671.79,Rev > 1m
APJ,FY21Q1,Thailand,2956.0,54.0,0.0,0.0,0.0,11.9,11,United States,AMER,FY22Q3,429-ABBG,6,CD-ROM,1587.51,1055.806,Rev > 1m
APJ,FY21Q1,Timor,24.0,0.0,0.0,0.0,0.0,1242.3,11,United States,AMER,FY22Q3,429-ABFL,5,CD-ROM,28030.58,12618.578,Rev > 1m
APJ,FY21Q1,Vietnam,270.0,0.0,0.0,0.0,0.0,200.0,11,United States,AMER,FY22Q3,429-ABFY,5,CD-ROM,545.81,256.79,Rev < 1k
APJ,FY21Q2,Afghanistan,34457.0,1211.0,0.0,0.0,0.0,0.0,11,United States,AMER,FY22Q3,429-ABFZ,5,CD-ROM,29.55,14.42,Rev < 1k
APJ,FY21Q2,Australia,10502.0,109.0,1331.0,6478.0,0.0,45.5,11,United States,AMER,FY22Q3,429-ABKB,3,CD-ROM,29.99,15.53,Rev < 1k
APJ,FY21Q2,Bangladesh,229423.0,2941.0,0.0,0.0,0.0,1346.8,11,United States,AMER,FY22Q3,429-ABKC,3,CD-ROM,1205.34,508.86,Rev > 1m
