Region,Location,Year,New_Cases,New_Deaths,ICU_Patients,Hosp_Patients,People_Fully_Vaccinated,Extreme_Poverty
EMEA,Denmark,2021,81630.0,1.0,2187.0,12015.0,208102216.0,17.400000000000002
EMEA,Denmark,2022,15800.0,64.0,152.0,5155.0,14397717.0,1.2000000000000002
EMEA,Finland,2020,36422.0,592.0,4238.0,18789.0,0.0,0.0
EMEA,Finland,2021,234407.0,1122.0,8762.0,49518.0,79163971.0,0.0
EMEA,Finland,2022,618797.0,1280.0,3914.0,66739.0,188669102.0,0.0
EMEA,France,2020,2735590.0,65031.0,643631.0,4569985.0,0.0,0.0
EMEA,France,2021,7706191.0,59161.0,981618.0,6008717.0,8539859069.0,0.0
EMEA,France,2022,16033164.0,18770.0,266186.0,2368187.0,4651292093.0,0.0
EMEA,Germany,2020,1719737.0,33079.0,438388.0,0.0,2462.0,0.0
EMEA,Germany,2021,5430685.0,78854.0,1009216.0,0.0,10752803548.0,0.0
EMEA,Germany,2022,14555963.0,18140.0,231678.0,0.0,5762833592.0,0.0
EMEA,Greece,2020,138850.0,4838.0,0.0,0.0,0.0,469.5
EMEA,Greece,2021,1072003.0,15952.0,0.0,0.0,1252378600.0,547.5
EMEA,Greece,2022,1866858.0,6894.0,0.0,0.0,689367222.0,139.5
EMEA,Guam,2020,0.0,0.0,0.0,0.0,0.0,0.0
EMEA,Guam,2021,0.0,0.0,0.0,0.0,0.0,0.0
EMEA,Guam,2022,0.0,0.0,0.0,0.0,0.0,0.0
EMEA,Hungary,2020,322514.0,9537.0,0.0,550368.0,0.0,152.0
EMEA,Hungary,2021,933901.0,29649.0,0.0,1318147.0,903818896.0,182.5
EMEA,Hungary,2022,597783.0,6324.0,0.0,291729.0,379587004.0,46.5
EMEA,Ireland,2020,86129.0,2220.0,10743.0,69467.0,0.0,60.6
EMEA,Ireland,2021,470576.0,50.0,13242.0,63773.0,597960816.0,43.800000000000004
EMEA,Ireland,2022,446587.0,175.0,3802.0,44590.0,215845562.0,12.200000000000001
