Region,Quarter,Country,New_Cases,New_Deaths,ICU_Patients,Hosp_Patients,People_Fully_Vaccinated,Extreme_Poverty
APJ,FY21Q2,Bangladesh,229423.0,2941.0,0.0,0.0,0.0,1346.8
APJ,FY21Q2,Bhutan,94.0,0.0,0.0,0.0,0.0,136.5
APJ,FY21Q2,Brunei,3.0,2.0,0.0,0.0,0.0,0.0
APJ,FY21Q2,Cambodia,117.0,0.0,0.0,0.0,0.0,0.0
APJ,FY21Q2,China,1463.0,1.0,0.0,0.0,0.0,63.699999999999996
APJ,FY21Q2,Fiji,9.0,1.0,0.0,0.0,0.0,127.39999999999999
APJ,FY21Q2,Hong Kong,2233.0,23.0,0.0,0.0,0.0,0.0
APJ,FY21Q2,India,1658731.0,35288.0,0.0,0.0,0.0,1929.2
APJ,FY21Q2,Indonesia,97825.0,4331.0,0.0,0.0,0.0,518.7
APJ,FY21Q2,Japan,21698.0,503.0,1499.0,24458.0,0.0,0.0
APJ,FY21Q2,Laos,1.0,0.0,0.0,0.0,0.0,2065.7
APJ,FY21Q2,Malaysia,2905.0,22.0,649.0,24012.0,0.0,9.1
APJ,FY21Q2,Maldives,3302.0,15.0,0.0,0.0,0.0,0.0
APJ,FY21Q2,Mongolia,253.0,0.0,0.0,0.0,0.0,45.5
APJ,FY21Q2,Myanmar,202.0,0.0,0.0,0.0,0.0,582.4
APJ,FY21Q2,Nepal,19713.0,56.0,0.0,0.0,0.0,1365.0
APJ,FY21Q2,New Zealand,78.0,2.0,0.0,0.0,0.0,0.0
APJ,FY21Q2,Pakistan,259202.0,5511.0,0.0,0.0,0.0,364.0
APJ,FY21Q2,Papua New Guinea,64.0,2.0,0.0,0.0,0.0,0.0
APJ,FY21Q2,Philippines,84582.0,1444.0,0.0,0.0,0.0,0.0
APJ,FY21Q2,Singapore,35104.0,11.0,545.0,42177.0,0.0,0.0
APJ,FY21Q2,South Korea,3556.0,51.0,1940.0,0.0,0.0,18.2
APJ,FY21Q2,Sri Lanka,2125.0,4.0,0.0,0.0,0.0,63.699999999999996
APJ,FY21Q2,Taiwan,38.0,1.0,0.0,0.0,0.0,0.0
APJ,FY21Q2,Thailand,368.0,4.0,0.0,0.0,0.0,9.1
APJ,FY21Q2,Timor,0.0,0.0,0.0,0.0,0.0,2757.3
APJ,FY21Q2,Vietnam,288.0,3.0,0.0,0.0,0.0,182.0
APJ,FY21Q3,Afghanistan,4640.0,257.0,0.0,0.0,0.0,0.0
APJ,FY21Q3,Australia,10305.0,706.0,1948.0,24387.0,0.0,45.5
APJ,FY21Q3,Bangladesh,168703.0,2794.0,0.0,0.0,0.0,1346.8
APJ,FY21Q3,Bhutan,247.0,0.0,0.0,0.0,0.0,136.5
APJ,FY21Q3,Brunei,7.0,0.0,0.0,0.0,0.0,0.0
APJ,FY21Q3,Cambodia,52.0,0.0,0.0,0.0,0.0,0.0
APJ,FY21Q3,China,1636.0,0.0,0.0,0.0,0.0,63.699999999999996
APJ,FY21Q3,Fiji,7.0,1.0,0.0,0.0,0.0,127.39999999999999
APJ,FY21Q3,Hong Kong,2048.0,78.0,0.0,0.0,0.0,0.0
APJ,FY21Q3,India,6441131.0,85130.0,0.0,0.0,0.0,1929.2
APJ,FY21Q3,Indonesia,298569.0,8651.0,0.0,0.0,0.0,518.7
APJ,FY21Q3,Japan,64190.0,743.0,3658.0,54523.0,0.0,0.0
APJ,FY21Q3,Laos,4.0,0.0,0.0,0.0,0.0,2065.7
APJ,FY21Q3,Malaysia,21913.0,133.0,3151.0,44205.0,0.0,9.1
APJ,FY21Q3,Maldives,7850.0,21.0,0.0,0.0,0.0,0.0
APJ,FY21Q3,Mongolia,49.0,0.0,0.0,0.0,0.0,45.5
APJ,FY21Q3,Myanmar,51143.0,1213.0,0.0,0.0,0.0,582.4
APJ,FY21Q3,Nepal,148464.0,864.0,0.0,0.0,0.0,1365.0
APJ,FY21Q3,New Zealand,395.0,3.0,0.0,0.0,0.0,0.0
APJ,FY21Q3,Pakistan,54688.0,855.0,0.0,0.0,0.0,364.0
APJ,FY21Q3,Papua New Guinea,533.0,5.0,0.0,0.0,0.0,0.0
APJ,FY21Q3,Philippines,285579.0,5162.0,0.0,0.0,0.0,0.0
APJ,FY21Q3,Singapore,5798.0,1.0,9.0,5460.0,0.0,0.0
APJ,FY21Q3,Solomon Islands,8.0,0.0,0.0,0.0,0.0,476.90000000000003
APJ,FY21Q3,South Korea,12175.0,163.0,7526.0,0.0,0.0,18.2
APJ,FY21Q3,Sri Lanka,7609.0,8.0,0.0,0.0,0.0,63.699999999999996
APJ,FY21Q3,Taiwan,90.0,0.0,0.0,0.0,0.0,0.0
APJ,FY21Q3,Thailand,465.0,1.0,0.0,0.0,0.0,9.1
APJ,FY21Q3,Timor,6.0,0.0,0.0,0.0,0.0,2757.3
APJ,FY21Q3,Vietnam,619.0,33.0,0.0,0.0,0.0,182.0
APJ,FY21Q4,Afghanistan,13671.0,867.0,0.0,0.0,0.0,0.0
APJ,FY21Q4,Australia,1221.0,2.0,24.0,2472.0,0.0,45.5
APJ,FY21Q4,Bangladesh,128043.0,2189.0,0.0,0.0,0.0,1346.8
APJ,FY21Q4,Bhutan,510.0,1.0,0.0,0.0,0.0,136.5
APJ,FY21Q4,Brunei,32.0,0.0,0.0,0.0,0.0,0.0
APJ,FY21Q4,Cambodia,172.0,0.0,0.0,0.0,0.0,0.0
APJ,FY21Q4,China,3457.0,2.0,0.0,0.0,0.0,63.699999999999996
APJ,FY21Q4,Fiji,21.0,0.0,0.0,0.0,0.0,127.39999999999999
APJ,FY21Q4,Hong Kong,5051.0,73.0,0.0,0.0,0.0,0.0
APJ,FY21Q4,India,2596011.0,32506.0,0.0,0.0,0.0,1929.2
APJ,FY21Q4,Indonesia,644850.0,15736.0,0.0,0.0,16755.0,518.7
APJ,FY21Q4,Japan,284279.0,3841.0,12294.0,128627.0,0.0,0.0
APJ,FY21Q4,Laos,20.0,0.0,0.0,0.0,0.0,2065.7
APJ,FY21Q4,Malaysia,173044.0,475.0,17382.0,266439.0,0.0,9.1
APJ,FY21Q4,Maldives,3971.0,14.0,0.0,0.0,0.0,0.0
APJ,FY21Q4,Mongolia,1370.0,2.0,0.0,0.0,0.0,45.5
APJ,FY21Q4,Myanmar,88019.0,1896.0,0.0,0.0,0.0,582.4
APJ,FY21Q4,Nepal,102510.0,1105.0,0.0,0.0,0.0,1365.0
APJ,FY21Q4,New Zealand,348.0,0.0,0.0,0.0,0.0,0.0
APJ,FY21Q4,Pakistan,210221.0,4817.0,0.0,0.0,0.0,364.0
APJ,FY21Q4,Papua New Guinea,262.0,2.0,0.0,0.0,0.0,0.0
APJ,FY21Q4,Philippines,142480.0,3415.0,0.0,0.0,0.0,0.0
APJ,FY21Q4,Samoa,2.0,0.0,0.0,0.0,0.0,0.0
APJ,FY21Q4,Singapore,1446.0,1.0,26.0,3650.0,1937.0,0.0
APJ,FY21Q4,Solomon Islands,9.0,0.0,0.0,0.0,0.0,2284.1
APJ,FY21Q4,South Korea,51339.0,950.0,18675.0,0.0,0.0,18.2
APJ,FY21Q4,Sri Lanka,52021.0,286.0,0.0,0.0,0.0,63.699999999999996
APJ,FY21Q4,Taiwan,345.0,0.0,0.0,0.0,0.0,0.0
APJ,FY21Q4,Thailand,13248.0,19.0,0.0,0.0,0.0,9.1
